state,animal_group,threatened_animal_species
ACT,Mammals,12
NSW,Mammals,42
NT,Mammals,33
QLD,Mammals,49
SA,Mammals,40
TAS,Mammals,11
VIC,Mammals,28
WA,Mammals,48
ACT,Birds,20
NSW,Birds,81
NT,Birds,38
QLD,Birds,72
SA,Birds,86
TAS,Birds,56
VIC,Birds,72
WA,Birds,64
ACT,Reptiles,6
NSW,Reptiles,37
NT,Reptiles,20
QLD,Reptiles,44
SA,Reptiles,12
TAS,Reptiles,8
VIC,Reptiles,15
WA,Reptiles,22
ACT,Amphibians,6
NSW,Amphibians,29
NT,Amphibians,1
QLD,Amphibians,23
SA,Amphibians,1
TAS,Amphibians,1
VIC,Amphibians,11
WA,Amphibians,3
ACT,Fish,4
NSW,Fish,31
NT,Fish,8
QLD,Fish,31
SA,Fish,20
TAS,Fish,21
VIC,Fish,33
WA,Fish,19
ACT,Invertebrates,4
NSW,Invertebrates,41
NT,Invertebrates,4
QLD,Invertebrates,24
SA,Invertebrates,4
TAS,Invertebrates,18
VIC,Invertebrates,12
WA,Invertebrates,16
