pa_id,name,state,type,type_group,iucn_category,area_ha,area_km2,longitude,latitude
CWTH_IPA51,Southern Tanami,NT,Indigenous Protected Area,Indigenous protected area,VI,10154858.36,101548.58,130.8784124,-21.42053319
CWTH_IPA17,Ngaanyatjarra,WA,Indigenous Protected Area,Indigenous protected area,VI,9973603.27,99736.03,127.42691529,-25.12474574
CWTH_IPA79,Anangu Tjutaku,WA,Indigenous Protected Area,Indigenous protected area,VI,9750511.49,97505.11,127.34664247,-28.97870944
CWTH_IPA54,Birriliburu,WA,Indigenous Protected Area,Indigenous protected area,VI,6110153.65,61101.54,123.12934739,-24.94416303
CWTH_IPA70,Katiti Petermann,NT,Indigenous Protected Area,Indigenous protected area,VI,5044023.83,50440.24,130.28532191,-25.0676863
CWTH_IPA78,Ngadju,WA,Indigenous Protected Area,Indigenous protected area,VI,4399298.57,43992.99,123.0633905,-31.44828207
CWTH_IPA67,Kiwirrkurra,WA,Indigenous Protected Area,Indigenous protected area,VI,4267664.48,42676.64,127.5009145,-22.87341
CWTH_IPA23,Northern Tanami,NT,Indigenous Protected Area,Indigenous protected area,VI,4003654.47,40036.54,131.07343806,-19.10284759
CWTH_IPA77,Ngururrpa,WA,Indigenous Protected Area,Indigenous protected area,VI,2962988.12,29629.88,128.1335932,-21.35844301
SA_1281_1,Munga-Thirri—Simpson Desert,SA,National Park,National park,VI,2915857.08,29158.57,137.29180033,-26.79306669
CWTH_IPA68,Nyangumarta Warrarn,WA,Indigenous Protected Area,Indigenous protected area,VI,2616042.34,26160.42,122.09772222,-20.38692724
WA_30490,Great Victoria Desert,WA,Nature Reserve,Nature reserve,Ia,2417121.65,24171.22,128.17598151,-29.65341032
CWTH_IPA64,Karajarri,WA,Indigenous Protected Area,Indigenous protected area,VI,2396405.08,23964.05,122.67340569,-19.250385
SA_0008,Mamungari,SA,Conservation Park,Conservation park/reserve,Ia,2134622.03,21346.22,130.00147798,-28.43241507
SA_0247,Yellabinna,SA,Regional Reserve,Regional reserve,VI,2010035.3,20100.35,132.68237338,-31.16311296
SA_0246,Nullarbor,SA,Regional Reserve,Regional reserve,VI,1927982.96,19279.83,130.54227763,-30.8910863
CWTH_06,Kakadu,NT,National Park (Commonwealth),National park,II,1911121.92,19111.22,132.43907442,-12.97884735
WA_34606,Gibson Desert,WA,Nature Reserve,Nature reserve,Ia,1842053.06,18420.53,125.50132751,-24.91558566
CWTH_IPA74,South-East Arnhem Land,NT,Indigenous Protected Area,Indigenous protected area,VI,1819609.55,18196.1,135.18467817,-14.09213657
CWTH_IPA58,Wilinggin,WA,Indigenous Protected Area,Indigenous protected area,V,1675896.23,16758.96,125.6609627,-16.0733381
CWTH_IPA7,Watarru,SA,Indigenous Protected Area,Indigenous protected area,VI,1657025.3,16570.25,129.76362626,-27.2919245
CWTH_IPA24,Warlu Jilajaa Jumu,WA,Indigenous Protected Area,Indigenous protected area,VI,1616605.51,16166.06,126.12887534,-20.45911892
CWTH_IPA82,Martu,WA,Indigenous Protected Area,Indigenous protected area,IV,1597253.93,15972.54,123.92026487,-22.15709781
CWTH_IPA32,Warddeken,NT,Indigenous Protected Area,Indigenous protected area,VI,1370495.55,13704.96,133.60099312,-12.88825989
SA_0227,Kati Thanda-Lake Eyre,SA,National Park,National park,VI,1350741.32,13507.41,137.51036045,-28.53651085
SA_0010,Innamincka,SA,Regional Reserve,Regional reserve,VI,1347466.45,13474.66,140.43387127,-27.31628214
WA_34607,Karlamilyi,WA,National Park,National park,II,1283729.17,12837.29,122.73731901,-22.3325199
SA_0253,Tallaringa,SA,Conservation Park,Conservation park/reserve,VI,1270972.61,12709.73,133.41791173,-28.78534654
CWTH_IPA43,Apara - Makiri - Punti,SA,Indigenous Protected Area,Indigenous protected area,VI,1107522.73,11075.23,131.05692958,-26.66499104
CWTH_IPA71,Ganalanga-Mindibirrina,NT,Indigenous Protected Area,Indigenous protected area,VI,1093373.98,10933.74,137.55873759,-18.1480859
CWTH_IPA60,Balanggarra,WA,Indigenous Protected Area,Indigenous protected area,VI,1090904.65,10909.05,127.6741258,-14.90198199
CWTH_IPA8,Walalkara,SA,Indigenous Protected Area,Indigenous protected area,VI,1070591.55,10705.92,131.82728049,-27.53017495
QLD_1083MGT001,Munga-Thirri,QLD,National Park,National park,II,1014431.67,10144.32,138.35411691,-25.56754969
SA_1079_1,Nullarbor,SA,Wilderness Protection Area,Other,Ib,897688.4,8976.88,130.42476896,-31.31541916
CWTH_IPA44,Antara - Sandy Bore,SA,Indigenous Protected Area,Indigenous protected area,VI,845325.47,8453.25,132.47877196,-27.5337127
NT_PA92,Judbarra / Gregory,NT,National Park,National park,V,839526.58,8395.27,130.35427094,-16.37469497
SA_0011,Strzelecki,SA,Regional Reserve,Regional reserve,VI,811853.37,8118.53,139.63467209,-28.81976579
WA_36957,Dundas,WA,Nature Reserve,Nature reserve,Ia,785183.33,7851.83,122.72376855,-32.40500261
CWTH_IPA58,Wilinggin,WA,Indigenous Protected Area,Indigenous protected area,VI,763015.05,7630.15,127.45052318,-16.27034411
CWTH_IPA42,Uunguu,WA,Indigenous Protected Area,Indigenous protected area,VI,759459.1,7594.59,126.13921558,-14.57793994
WA_34720,Neale Junction,WA,Nature Reserve,Nature reserve,Ia,724490.63,7244.91,126.00138655,-28.33242553
SA_0228,Witjira,SA,National Park,National park,VI,717353.49,7173.53,135.90225867,-26.36965407
SA_1281_1,Munga-Thirri—Simpson Desert,SA,National Park,National park,Ia,689578.99,6895.79,137.87625036,-26.24798579
NSW_N0018,Kosciuszko,NSW,National Park,National park,II,688944.64,6889.45,148.37601603,-36.01464148
AWC_8,Kalamurina,SA,Private Nature Reserve,Nature reserve,II,676324.37,6763.24,137.62736204,-27.80044464
VIC_3320,Murray - Sunset,VIC,National Park,National park,II,665846.82,6658.47,141.627735,-34.81552181
VIC_3319,Alpine,VIC,National Park,National park,II,662436.51,6624.37,147.06115001,-37.02981908
TAS_50252,Southwest,TAS,National Park,National park,II,628616.58,6286.17,146.19382792,-43.1821697
WA_30082,Karijini,WA,National Park,National park,II,624428.0,6244.28,118.27438579,-22.96831778
CWTH_IPA59,Dambimangari,WA,Indigenous Protected Area,Indigenous protected area,VI,617210.65,6172.11,125.01332991,-15.664435
WA_54224,Matuwa Kurrara Kurrara,WA,National Park,National park,II,609321.05,6093.21,121.70509089,-25.70647131
