state,protected_area_count,total_area_ha,total_area_km2,mean_area_ha,indigenous_area_ha,share_of_national_protected_area_pct,state_order
WA,2084,79540229.3,795402.3,38167.1,53370020.6,45.2,7
NT,282,33294785.2,332947.9,118066.6,26185125.6,18.9,2
SA,2211,29979227.4,299792.3,13559.1,6197217.6,17.0,4
QLD,1278,17154726.1,171547.2,13423.1,4750211.2,9.7,3
NSW,1018,7865641.0,78656.5,7726.6,75532.1,4.5,1
VIC,3285,5213641.3,52136.5,1587.1,3887.7,3.0,6
TAS,4236,2928455.6,29283.4,691.3,11236.6,1.7,5
ACT,76,131902.4,1319.0,1735.6,0.0,0.1,0
EXT,20,52471.2,524.7,2623.6,0.0,0.0,8
JBT,2,5597.5,56.0,2798.7,0.0,0.0,9
