gaz_year,new_area_count,new_area_ha,new_area_km2,cumulative_area_count,cumulative_area_ha,cumulative_area_km2
1873,1,10.7,0.1,1,10.7,0.1
1874,1,11.8,0.1,2,22.5,0.2
1876,1,22.2,0.2,3,44.7,0.4
1879,1,124.0,1.2,4,168.7,1.6
1880,1,35.5,0.4,5,204.2,2.0
1881,1,12.4,0.1,6,216.6,2.1
1882,3,3647.3,36.5,9,3863.9,38.6
1883,2,357.8,3.6,11,4221.7,42.2
1884,3,537.0,5.4,14,4758.7,47.6
1885,2,325.3,3.3,16,5084.0,50.9
1886,1,47.8,0.5,17,5131.8,51.4
1887,2,413.3,4.1,19,5545.1,55.5
1888,2,296.7,3.0,21,5841.8,58.5
1889,1,806.2,8.1,22,6648.0,66.6
1890,5,1326.8,13.3,27,7974.8,79.9
1891,5,459.9,4.6,32,8434.7,84.5
1892,10,952.2,9.5,42,9386.9,94.0
1893,14,6463.2,64.6,56,15850.1,158.6
1894,3,126.2,1.3,59,15976.3,159.9
1895,2,161.6,1.6,61,16137.9,161.5
1896,7,764.5,7.6,68,16902.4,169.1
1897,4,534.6,5.3,72,17437.0,174.4
1898,10,78551.5,785.5,82,95988.5,959.9
1899,18,890.1,8.9,100,96878.6,968.8
1900,7,6974.0,69.7,107,103852.6,1038.5
1901,9,3711.7,37.1,116,107564.3,1075.6
1902,2,1105.4,11.0,118,108669.7,1086.6
1903,5,905.7,9.0,123,109575.4,1095.6
1904,8,1334.9,13.4,131,110910.3,1109.0
1905,22,3906.4,39.0,153,114816.7,1148.0
1906,7,707.2,7.1,160,115523.9,1155.1
1907,13,1569.1,15.7,173,117093.0,1170.8
1908,19,550003.3,5500.1,192,667096.3,6670.9
1909,24,361124.6,3611.2,216,1028220.9,10282.1
1910,16,1730.8,17.3,232,1029951.7,10299.4
1911,17,1512.1,15.1,249,1031463.8,10314.5
1912,23,10885.0,108.9,272,1042348.8,10423.4
1913,14,114910.3,1149.1,286,1157259.1,11572.5
1914,23,2526.8,25.3,309,1159785.9,11597.8
1915,22,25940.2,259.4,331,1185726.1,11857.2
1916,78,40715.7,407.1,409,1226441.8,12264.3
1917,93,13444.2,134.4,502,1239886.0,12398.7
1918,17,2791.0,27.9,519,1242677.0,12426.6
1919,113,82986.7,829.8,632,1325663.7,13256.4
1920,6,622.4,6.2,638,1326286.1,13262.6
1921,10,119731.8,1197.3,648,1446017.9,14459.9
1922,9,163475.9,1634.8,657,1609493.8,16094.7
1923,12,1878.9,18.8,669,1611372.7,16113.5
1924,10,4449.8,44.5,679,1615822.5,16158.0
1925,3,2937.9,29.4,682,1618760.4,16187.4
1926,9,17176.6,171.8,691,1635937.0,16359.2
1927,10,7411.0,74.1,701,1643348.0,16433.3
1928,24,86877.2,868.8,725,1730225.2,17302.1
1929,26,8080.1,80.8,751,1738305.3,17382.9
1930,22,60964.4,609.6,773,1799269.7,17992.5
1931,7,5097.9,51.0,780,1804367.6,18043.5
1932,18,315237.1,3152.4,798,2119604.7,21195.9
1933,4,667.6,6.7,802,2120272.3,21202.6
1934,13,8532.8,85.3,815,2128805.1,21287.9
1935,3,3193.4,31.9,818,2131998.5,21319.8
1936,15,105621.8,1056.2,833,2237620.3,22376.0
1937,10,2254.6,22.5,843,2239874.9,22398.5
1938,39,31456.6,314.6,882,2271331.5,22713.1
1939,20,20804.6,208.1,902,2292136.1,22921.2
1940,11,69630.4,696.3,913,2361766.5,23617.5
1941,10,137132.5,1371.3,923,2498899.0,24988.8
1942,7,129.2,1.3,930,2499028.2,24990.1
1943,2,84.8,0.8,932,2499113.0,24990.9
1944,3,18455.9,184.6,935,2517568.9,25175.5
1945,9,95840.3,958.4,944,2613409.2,26133.9
1946,7,2176.6,21.8,951,2615585.8,26155.7
1947,5,18439.0,184.4,956,2634024.8,26340.1
1948,10,39655.2,396.6,966,2673680.0,26736.7
1949,10,1851.4,18.5,976,2675531.4,26755.2
1950,13,18702.2,187.0,989,2694233.6,26942.2
1951,241,644294.0,6442.8,1230,3338527.6,33385.0
1952,21,13035.2,130.4,1251,3351562.8,33515.4
1953,14,5855.3,58.6,1265,3357418.1,33574.0
1954,26,507839.9,5078.4,1291,3865258.0,38652.4
1955,8,6899.2,69.0,1299,3872157.2,38721.4
1956,37,236701.4,2367.0,1336,4108858.6,41088.4
1957,56,95160.1,951.6,1392,4204018.7,42040.0
1958,30,268614.1,2686.2,1422,4472632.8,44726.2
1959,16,21282.5,212.8,1438,4493915.3,44939.0
1960,36,126513.3,1265.1,1474,4620428.6,46204.1
1961,32,233425.2,2334.2,1506,4853853.8,48538.3
1962,37,135747.3,1357.5,1543,4989601.1,49895.8
1963,66,484272.2,4842.7,1609,5473873.3,54738.5
1964,34,687622.2,6876.2,1643,6161495.5,61614.7
1965,41,1010207.5,10102.1,1684,7171703.0,71716.8
1966,133,338606.7,3386.0,1817,7510309.7,75102.8
1967,93,3200989.5,32009.9,1910,10711299.2,107112.7
1968,62,912871.4,9128.7,1972,11624170.6,116241.4
1969,63,1158731.4,11587.4,2035,12782902.0,127828.8
1970,82,5260715.8,52607.1,2117,18043617.8,180435.9
1971,114,389565.9,3895.6,2231,18433183.7,184331.5
1972,62,711315.2,7113.2,2293,19144498.9,191444.7
1973,72,697685.0,6976.8,2365,19842183.9,198421.5
1974,94,593479.4,5934.8,2459,20435663.3,204356.3
1975,91,102461.8,1024.6,2550,20538125.1,205380.9
1976,128,313334.3,3133.4,2678,20851459.4,208514.3
1977,76,5830572.3,58305.8,2754,26682031.7,266820.1
1978,90,555498.1,5554.9,2844,27237529.8,272375.0
1979,666,6068425.5,60684.4,3510,33305955.3,333059.4
1980,77,426997.5,4270.0,3587,33732952.8,337329.4
1981,115,883549.7,8835.5,3702,34616502.5,346164.9
1982,339,229601.4,2296.1,4041,34846103.9,348461.0
1983,380,543164.1,5431.6,4421,35389268.0,353892.6
1984,327,628011.6,6280.1,4748,36017279.6,360172.7
1985,64,2212744.2,22127.5,4812,38230023.8,382300.2
1986,268,343820.1,3438.2,5080,38573843.9,385738.4
1987,428,651573.6,6515.7,5508,39225417.5,392254.1
1988,191,2391510.9,23915.1,5699,41616928.4,416169.2
1989,175,2297212.3,22972.1,5874,43914140.7,439141.3
1990,322,4183472.2,41834.7,6196,48097612.9,480976.0
1991,213,4102221.7,41022.2,6409,52199834.6,521998.2
1992,439,1931912.2,19319.1,6848,54131746.8,541317.3
1993,298,1503727.0,15037.2,7146,55635473.8,556354.5
1994,160,306129.7,3061.3,7306,55941603.5,559415.8
1995,114,630735.0,6307.3,7420,56572338.5,565723.1
1996,206,589949.2,5899.5,7626,57162287.7,571622.6
1997,277,463835.1,4638.4,7903,57626122.8,576261.0
1998,176,346947.8,3469.5,8079,57973070.6,579730.5
1999,274,1187044.0,11870.5,8353,59160114.6,591601.0
2000,292,4303977.2,43039.8,8645,63464091.8,634640.8
2001,312,631073.6,6310.8,8957,64095165.4,640951.6
2002,447,11232909.4,112329.0,9404,75328074.8,753280.6
2003,359,494078.1,4940.9,9763,75822152.9,758221.5
2004,292,870794.2,8707.9,10055,76692947.1,766929.4
2005,397,1179804.2,11798.1,10452,77872751.3,778727.5
2006,270,1265212.9,12652.1,10722,79137964.2,791379.6
2007,220,5928763.2,59287.6,10942,85066727.4,850667.2
2008,243,506826.2,5068.3,11185,85573553.6,855735.5
2009,301,3044600.1,30446.0,11486,88618153.7,886181.5
2010,446,3283174.4,32831.7,11932,91901328.1,919013.2
2011,730,2726021.2,27259.7,12662,94627349.3,946272.9
