pa_id,name,type,type_group,iucn_category,state,governance,environment,area_ha,area_km2,longitude,latitude,gaz_year,is_indigenous
CWTH_IPA51,Southern Tanami,Indigenous Protected Area,Indigenous protected area,VI,NT,C,T,10154858.36,101548.58,130.8784124,-21.42053319,2012,True
CWTH_IPA17,Ngaanyatjarra,Indigenous Protected Area,Indigenous protected area,VI,WA,C,T,9973603.27,99736.03,127.42691529,-25.12474574,2002,True
CWTH_IPA79,Anangu Tjutaku,Indigenous Protected Area,Indigenous protected area,VI,WA,C,T,9750511.49,97505.11,127.34664247,-28.97870944,2021,True
CWTH_IPA54,Birriliburu,Indigenous Protected Area,Indigenous protected area,VI,WA,C,T,6110153.65,61101.54,123.12934739,-24.94416303,2013,True
CWTH_IPA70,Katiti Petermann,Indigenous Protected Area,Indigenous protected area,VI,NT,C,T,5044023.83,50440.24,130.28532191,-25.0676863,2015,True
CWTH_IPA78,Ngadju,Indigenous Protected Area,Indigenous protected area,VI,WA,C,T,4399298.57,43992.99,123.0633905,-31.44828207,2020,True
CWTH_IPA67,Kiwirrkurra,Indigenous Protected Area,Indigenous protected area,VI,WA,C,T,4267664.48,42676.64,127.5009145,-22.87341,2014,True
CWTH_IPA23,Northern Tanami,Indigenous Protected Area,Indigenous protected area,VI,NT,C,T,4003654.47,40036.54,131.07343806,-19.10284759,2007,True
CWTH_IPA77,Ngururrpa,Indigenous Protected Area,Indigenous protected area,VI,WA,C,T,2962988.12,29629.88,128.1335932,-21.35844301,2020,True
SA_1281_1,Munga-Thirri—Simpson Desert,National Park,National park,VI,SA,G,T,2915857.08,29158.57,137.29180033,-26.79306669,2021,False
CWTH_IPA68,Nyangumarta Warrarn,Indigenous Protected Area,Indigenous protected area,VI,WA,C,T,2616042.34,26160.42,122.09772222,-20.38692724,2015,True
WA_30490,Great Victoria Desert,Nature Reserve,Nature reserve,Ia,WA,G,T,2417121.65,24171.22,128.17598151,-29.65341032,1970,False
CWTH_IPA64,Karajarri,Indigenous Protected Area,Indigenous protected area,VI,WA,C,T,2396405.08,23964.05,122.67340569,-19.250385,2014,True
SA_0008,Mamungari,Conservation Park,Conservation park/reserve,Ia,SA,G,T,2134622.03,21346.22,130.00147798,-28.43241507,1970,False
SA_0247,Yellabinna,Regional Reserve,Regional reserve,VI,SA,G,T,2010035.3,20100.35,132.68237338,-31.16311296,1990,False
SA_0246,Nullarbor,Regional Reserve,Regional reserve,VI,SA,G,T,1927982.96,19279.83,130.54227763,-30.8910863,1989,False
CWTH_06,Kakadu,National Park (Commonwealth),National park,II,NT,J,T,1911121.92,19111.22,132.43907442,-12.97884735,1979,False
WA_34606,Gibson Desert,Nature Reserve,Nature reserve,Ia,WA,G,T,1842053.06,18420.53,125.50132751,-24.91558566,1977,False
CWTH_IPA74,South-East Arnhem Land,Indigenous Protected Area,Indigenous protected area,VI,NT,C,T,1819609.55,18196.1,135.18467817,-14.09213657,2016,True
CWTH_IPA58,Wilinggin,Indigenous Protected Area,Indigenous protected area,V,WA,C,T,1675896.23,16758.96,125.6609627,-16.0733381,2013,True
CWTH_IPA7,Watarru,Indigenous Protected Area,Indigenous protected area,VI,SA,C,T,1657025.3,16570.25,129.76362626,-27.2919245,2000,True
CWTH_IPA24,Warlu Jilajaa Jumu,Indigenous Protected Area,Indigenous protected area,VI,WA,C,T,1616605.51,16166.06,126.12887534,-20.45911892,2007,True
CWTH_IPA82,Martu,Indigenous Protected Area,Indigenous protected area,IV,WA,C,T,1597253.93,15972.54,123.92026487,-22.15709781,2022,True
CWTH_IPA32,Warddeken,Indigenous Protected Area,Indigenous protected area,VI,NT,C,T,1370495.55,13704.96,133.60099312,-12.88825989,2009,True
SA_0227,Kati Thanda-Lake Eyre,National Park,National park,VI,SA,G,T,1350741.32,13507.41,137.51036045,-28.53651085,1985,False
SA_0010,Innamincka,Regional Reserve,Regional reserve,VI,SA,G,T,1347466.45,13474.66,140.43387127,-27.31628214,1988,False
