environment,region,record_count,protected_record_count,indigenous_protected_record_count,species_count,unprotected_record_count,protected_pct,indigenous_protected_pct
terrestrial,Sturt Plateau,77145,3699,90,2294,73446,4.8,0.1
terrestrial,Mount Isa Inlier,151322,7380,115,2372,143942,4.9,0.1
terrestrial,Finke,135400,7964,4479,2557,127436,5.9,3.3
terrestrial,Burt Plain,92252,7559,5330,2228,84693,8.2,5.8
terrestrial,Davenport Murchison Ranges,58063,5501,0,1962,52562,9.5,0.0
terrestrial,Southern Volcanic Plain,2818910,271896,5582,9493,2547014,9.6,0.2
terrestrial,Daly Basin,231447,26134,326,3520,205313,11.3,0.1
terrestrial,Stony Plains,204050,23219,2472,2555,180831,11.4,1.2
terrestrial,Gulf Plains,160592,18467,5378,4784,142125,11.5,3.3
terrestrial,Avon Wheatbelt,461905,57747,66,7503,404158,12.5,0.0
terrestrial,Murchison,139264,17553,1283,3918,121711,12.6,0.9
terrestrial,South East Coastal Plain,7125060,969434,1578,16065,6155626,13.6,0.0
terrestrial,Pilbara,176951,25627,0,4956,151324,14.5,0.0
terrestrial,Mitchell Grass Downs,250565,37156,0,3799,213409,14.8,0.0
terrestrial,South Eastern Queensland,9553026,1421464,5587,28027,8131562,14.9,0.1
terrestrial,Darling Riverine Plains,559314,97032,106,4454,462282,17.3,0.0
terrestrial,Tasmanian Northern Slopes,193424,33995,0,5539,159429,17.6,0.0
terrestrial,Central Arnhem,23901,4387,4387,2046,19514,18.4,18.4
terrestrial,Ord Victoria Plain,151879,29427,185,2983,122452,19.4,0.1
terrestrial,Gawler,259941,51034,0,3694,208907,19.6,0.0
