environment,region,record_count,protected_record_count,indigenous_protected_record_count,species_count,unprotected_record_count,protected_pct,indigenous_protected_pct
terrestrial,Sturt Plateau,77145,3699,90,2294,73446,4.8,0.1
terrestrial,Mount Isa Inlier,151322,7380,115,2372,143942,4.9,0.1
terrestrial,Finke,135400,7964,4479,2557,127436,5.9,3.3
terrestrial,Burt Plain,92252,7559,5330,2228,84693,8.2,5.8
terrestrial,Davenport Murchison Ranges,58063,5501,0,1962,52562,9.5,0.0
terrestrial,Southern Volcanic Plain,2818910,271896,5582,9493,2547014,9.6,0.2
terrestrial,Daly Basin,231447,26134,326,3520,205313,11.3,0.1
terrestrial,Stony Plains,204050,23219,2472,2555,180831,11.4,1.2
terrestrial,Gulf Plains,160592,18467,5378,4784,142125,11.5,3.3
terrestrial,Avon Wheatbelt,461905,57747,66,7503,404158,12.5,0.0
terrestrial,Murchison,139264,17553,1283,3918,121711,12.6,0.9
terrestrial,South East Coastal Plain,7125060,969434,1578,16065,6155626,13.6,0.0
terrestrial,Pilbara,176951,25627,0,4956,151324,14.5,0.0
terrestrial,Mitchell Grass Downs,250565,37156,0,3799,213409,14.8,0.0
terrestrial,South Eastern Queensland,9553026,1421464,5587,28027,8131562,14.9,0.1
terrestrial,Darling Riverine Plains,559314,97032,106,4454,462282,17.3,0.0
terrestrial,Tasmanian Northern Slopes,193424,33995,0,5539,159429,17.6,0.0
terrestrial,Central Arnhem,23901,4387,4387,2046,19514,18.4,18.4
terrestrial,Ord Victoria Plain,151879,29427,185,2983,122452,19.4,0.1
terrestrial,Gawler,259941,51034,0,3694,208907,19.6,0.0
terrestrial,Tasmanian Northern Midlands,125559,26456,0,3798,99103,21.1,0.0
terrestrial,Nandewar,684368,148927,0,6192,535441,21.8,0.0
terrestrial,Einasleigh Uplands,492009,107148,2315,9294,384861,21.8,0.5
terrestrial,Jarrah Forest,658827,147238,0,10099,511589,22.3,0.0
terrestrial,Cobar Peneplain,400998,91392,1642,3872,309606,22.8,0.4
terrestrial,Swan Coastal Plain,1261105,292162,0,10379,968943,23.2,0.0
terrestrial,Sydney Basin,9038596,2114951,0,23111,6923645,23.4,0.0
terrestrial,Brigalow Belt North,1067578,251439,0,12025,816139,23.6,0.0
terrestrial,Victorian Midlands,2952944,699432,0,10721,2253512,23.7,0.0
terrestrial,NSW South Western Slopes,2040138,490133,0,8925,1550005,24.0,0.0
terrestrial,Central Mackay Coast,317313,80427,0,9588,236886,25.3,0.0
terrestrial,Coolgardie,150973,38537,0,4741,112436,25.5,0.0
terrestrial,Wet Tropics,2008796,522667,70839,20084,1486129,26.0,3.5
terrestrial,Desert Uplands,72635,18884,0,3066,53751,26.0,0.0
terrestrial,Ben Lomond,52748,13781,0,4380,38967,26.1,0.0
terrestrial,Victoria Bonaparte,312072,82745,701,5180,229327,26.5,0.2
terrestrial,Carnarvon,147441,39346,0,5324,108095,26.7,0.0
terrestrial,Geraldton Sandplains,142477,39138,0,6109,103339,27.5,0.0
terrestrial,Brigalow Belt South,1979885,547471,0,14208,1432414,27.7,0.0
terrestrial,Eyre Yorke Block,1145760,325570,9284,7848,820190,28.4,0.8
terrestrial,Flinders Lofty Block,1997270,578157,4980,10419,1419113,28.9,0.2
