name,category,date_inscribed,area_ha,latitude,longitude,components_count,description
Budj Bim Cultural Landscape,Cultural,2019,9935.0,-38.0811111111,141.8852777778,3,"The Budj Bim Cultural Landscape, located in the traditional Country of the Gunditjmara people in south-eastern Australia, consists of three serial components containing one of the world’s most extensive and oldest aquaculture systems. The Budj Bim lava flows provide the basis for the complex system of channels, weirs and dams developed by the Gunditjmara in order to trap, store and harvest kooyang (short-finned eel – Anguilla australis). The highly productive aquaculture system provided an economic and social base for Gunditjmara society for six millennia. The Budj Bim Cultural Landscape is the result of a creational process narrated by the Gunditjmara as a deep time story, referring to the idea that they have always lived there. From an archaeological perspective, deep time represents a period of at least 32,000 years. The ongoing dynamic relationship of Gunditjmara and their land is nowadays carried by knowledge systems retained through oral transmission and continuity of cultural practice."
Gondwana Rainforests of Australia,Natural,1986,370000.0,-28.25,150.05,40,"This site, comprising several protected areas, is situated predominantly along the Great Escarpment on Australia’s east coast. The outstanding geological features displayed around shield volcanic craters and the high number of rare and threatened rainforest species are of international significance for science and conservation."
Heard and McDonald Islands,Natural,1997,658903.0,-53.1,73.5,1,"Heard Island and McDonald Islands are located in the Southern Ocean, approximately 1,700 km from the Antarctic continent and 4,100 km south-west of Perth. As the only volcanically active subantarctic islands they ‘open a window into the earth’, thus providing the opportunity to observe ongoing geomorphic processes and glacial dynamics. The distinctive conservation value of Heard and McDonald – one of the world’s rare pristine island ecosystems – lies in the complete absence of alien plants and animals, as well as human impact."
Murujuga Cultural Landscape,Cultural,2025,99881.0,-20.5650277778,116.6685277778,1,"Murujuga is a deeply storied land and seascape located in northwest Australia. It encompasses the Burrup Peninsula, the Dampier Archipelago, surrounding marine areas and the submerged landscape. Murujuga is shaped by the Lore — rules and narratives put in place to create the Country — and the enduring presence of the Ngarda-Ngarli, Traditional Owners and Custodians of the site. The property holds profound cultural and spiritual significance, reflecting over 50,000 years of continuous care and management by Traditional Law that has adapted to the changing needs of Country over periods of dramatic climatic and environmental change. Murujuga is renowned for its dense concentration of archaeological and spiritual sites that reflect the interaction between people and place over thousands of generations. Its extraordinary rock art assemblage records a complex system of Lore and Traditional Law, features unique motifs and demonstrates artistic and technical mastery."
Purnululu National Park,Natural,2003,239723.0,-17.5,128.5,1,"The 239,723 ha Purnululu National Park is located in the State of Western Australia. It contains the deeply dissected Bungle Bungle Range composed of Devonian-age quartz sandstone eroded over a period of 20 million years into a series of beehive-shaped towers or cones, whose steeply sloping surfaces are distinctly marked by regular horizontal bands of dark-grey cyanobacterial crust (single-celled photosynthetic organisms). These outstanding examples of cone karst owe their existence and uniqueness to several interacting geological, biological, erosional and climatic phenomena."
Macquarie Island,Natural,1997,557280.0,-54.59472222,158.8955556,1,"Macquarie Island (34 km long x 5 km wide) is an oceanic island in the Southern Ocean, lying 1,500 km south-east of Tasmania and approximately halfway between Australia and the Antarctic continent. The island is the exposed crest of the undersea Macquarie Ridge, raised to its present position where the Indo-Australian tectonic plate meets the Pacific plate. It is a site of major geoconservation significance, being the only place on earth where rocks from the earth’s mantle (6 km below the ocean floor) are being actively exposed above sea-level. These unique exposures include excellent examples of pillow basalts and other extrusive rocks."
Willandra Lakes Region,Mixed,1981,240000.0,-34.0,143.0,1,"The fossil remains of a series of lakes and sand formations that date from the Pleistocene can be found in this region, together with archaeological evidence of human occupation dating from 45–60,000 years ago. It is a unique landmark in the study of human evolution on the Australian continent. Several well-preserved fossils of giant marsupials have also been found here."
Australian Fossil Mammal Sites (Riversleigh / Naracoorte),Natural,1994,10326.0,-19.08333333,138.7166667,7,"Riversleigh and Naracoorte, situated in the north and south respectively of eastern Australia, are among the world’s 10 greatest fossil sites. They are a superb illustration of the key stages of evolution of Australia’s unique fauna."
Australian Convict Sites,Cultural,2010,1502.5,-33.3783333333,150.9944444444,11,"The property includes a selection of eleven penal sites, among the thousands established by the British Empire on Australian soil in the 18th and 19th centuries. The sites are spread across Australia, from Fremantle in Western Australia to Kingston and Arthur's Vale on Norfolk Island in the east; and from areas around Sydney in New South Wales in the north, to sites located in Tasmania in the south. Around 166,000 men, women and children were sent to Australia over 80 years between 1787 and 1868, condemned by British justice to transportation to the convict colonies. Each of the sites had a specific purpose, in terms both of punitive imprisonment and of rehabilitation through forced labour to help build the colony. The Australian Convict Sites presents the best surviving examples of large-scale convict transportation and the colonial expansion of European powers through the presence and labour of convicts."
Kakadu National Park,Mixed,1981,1980994.9,-12.83333333,132.8333333,3,"This unique archaeological and ethnological reserve, located in the Northern Territory, has been inhabited continuously for more than 40,000 years. The cave paintings, rock carvings and archaeological sites record the skills and way of life of the region’s inhabitants, from the hunter-gatherers of prehistoric times to the Aboriginal people still living there. It is a unique example of a complex of ecosystems, including tidal flats, floodplains, lowlands and plateaux, and provides a habitat for a wide range of rare or endemic species of plants and animals."
